business_id,name,categories
adATTqggIQX5xxLDISkFTw,Just Churros,"Food Trucks, Restaurants, Caterers, Event Planning & Services, Food, Mexican, Spanish, Desserts"
wgcSbX3osqRibWW7pVyfww,Jack in the Box,"Burgers, Fast Food, Restaurants, Breakfast & Brunch, Mexican, Tacos"
i8UZblHPk2O-iNKJrnWQ_Q,Taco Bell,"Restaurants, Fast Food, Mexican, Tex-Mex, Tacos, Breakfast & Brunch"
Y3ZCO17N1_T_Ms1JmswwzA,Taqueria Pico De Gallo,"Mexican, Restaurants"
v5T1Q21TT1_S_aY_G8Mf-g,Mr. Baja Fish,"Seafood, Restaurants, Mexican"
oCATFtmf0u9m0kj1Bdr5GA,Nicos Mexican Food,"Restaurants, Mexican"
Ck2WcubwhTRc8bgYQyH-SA,Mi Cabana Restaurant,"Restaurants, Seafood, Mexican"
ERl6OCSEIFBOqfjai_jIUg,La Parrilla Suiza,"Restaurants, Mexican"
SjjrTfCxmLp0kJgy62sRAg,Maico,"Restaurants, Mexican"
BvQ02tI-7gVAfQwHe_U3bA,Taco Bell,"Breakfast & Brunch, Fast Food, Restaurants, Tex-Mex, Mexican, Tacos"
2wEnpf2eu98rcYc540UN3Q,Chipotle Mexican Grill,"Restaurants, Fast Food, Mexican"
rViAhfKLKmwbhTKROM9m0w,Casino Del Sol,"Arts & Entertainment, Hotels & Travel, Casinos, Diners, Restaurants, Mexican, Resorts"
otQS34_MymijPTdNBoBdCw,BK Tacos,"Restaurants, Tacos, Mexican, Hot Dogs, Breakfast & Brunch, Steakhouses"
5YsyW95SpCiLhpYYuZ3GBQ,Burgerrito,"Food, Restaurants, Mexican, Food Trucks"
LQcGL4hfJAeK6bk2ZdhmXw,Aqui Con El Nene,"Fast Food, Restaurants, Mexican, Food Stands, Hot Dogs"
7OrS8FzIChQmkVgTxOew6w,El Sur Restaurant,"Restaurants, Mexican"
wSeEtJ-d2C8vqy5v9La9-g,Lonchos Street Tacos & Spirits,"Hot Dogs, Nightlife, Sports Bars, Bars, Food Stands, Mexican, Restaurants"
jmwasbZfgj3honf79qKsnA,Street- Taco and Beer Co.,"Mexican, Bars, Restaurants, Nightlife"
Wd9JBLjCCh5yTF0vPAxCAA,El Merendero,"Mexican, Restaurants"
L4f7DvOdzkqPlltqmwL0Rg,CRUDA Mariscos & Oyster Bar,"Restaurants, Seafood, Breakfast & Brunch, Mexican"
rdtMeOwRcXw4mJVxiBQ_IQ,La Mesa Tortillas,"Specialty Food, Food, Local Flavor, Restaurants, Mexican, Ethnic Food"
7L1kXfwU5XM6f6Jxo_L7Yg,Casa Molina Del Norte,"Latin American, Mexican, Restaurants"
fEdDmhp6MQhuPF-iVLcmEw,Carlota's Authentic Mexican Cuisine,"Restaurants, Food, Mexican"
WbA5ud4InNWkizW7HE5kRQ,Penca,"Mexican, Restaurants, Nightlife, Bars, Venues & Event Spaces, Event Planning & Services"
OvSry57xdVkcrNSZdrA8RQ,Taco Bell,"Mexican, Restaurants, Tacos, Fast Food"
-D_InZvA0lq497RtoNxofw,Mr Baja Fish,"Seafood, Restaurants, Mexican"
qqArBRPcKDljT6OEmReEdw,Seis Kitchen,"Breakfast & Brunch, Restaurants, Mexican"
3p60SCbWgBMCw7UcREExMw,El Pollo Loco,"Restaurants, Mexican, Fast Food"
W7NxQw8UYFR0HLPrI08tvw,Chipotle Mexican Grill,"Restaurants, Fast Food, Mexican"
eBGWJYj9meGtvgw0Tm7KwA,Mela's Raspados & Antojitos,"Ice Cream & Frozen Yogurt, Shaved Ice, Food, Desserts, Mexican, Restaurants"
25oFsYCEn6jP4CdJdkEw3A,Taqueria El Cheke,"Burgers, Food Trucks, Street Vendors, Food, Restaurants, Mexican"
9N2EGZEaZSK52kViRx9GMg,Los Betos,"Restaurants, Mexican"
dyVKL3qKsz_XDxtjpbNcgQ,El Charro Cafe,"Mexican, Restaurants"
KHwncPVH4YKRpEPoJpiB1Q,Fire + Spice Tucson,"Mexican, Tex-Mex, Restaurants"
fXIahKpTRkWDeedxlpidVw,Nico's Taco Shop,"Restaurants, Mexican"
dygflr6j51vf3-lM5pUIkw,El Dorado,"Mexican, Latin American, Restaurants"
RhuYqAT45uIR2NNdDsolXQ,St Mary's Mexican Food,"Restaurants, Mexican"
ujscft15GkpvxcqT4FoAOg,Taco Bell,"Food, Restaurants, Breakfast & Brunch, Fast Food, Tex-Mex, Mexican, Tacos"
lEOxwatxwXaCi8lPUTFKRQ,Indian Frybread-Manna From Heaven,"Restaurants, Mexican, American (Traditional), Indian, Food"
ayKkakJwKGx5eBCYboYOHw,Taco Bell,"Tex-Mex, Restaurants, Breakfast & Brunch, Mexican, Fast Food, Tacos"
JN_sprx6_17CEhtbEK-AJg,Polo's Taqueria,"Restaurants, Mexican"
wqmAnbS2roEnhKHCHygrSw,Club 21,"Restaurants, Mexican"
b0syqzR1F-EmprvTVs23ng,Angela's Mexican Food,"Restaurants, Mexican"
iJoGdgWECMNpe-ajs0rfxA,El Sabroso Oakwood Grill,"Mexican, Restaurants"
h4Um1Vu4Lpo7I1juWXFIUw,La Reyna Hot Dogs,"Food, Mexican, Food Trucks, Restaurants, Hot Dogs"
Z75xSO_6mKuuPpRHE-GjHg,Tacos Apson,"Tacos, Restaurants, Mexican"
-pRU97z3uPU_M7yUf5yzMg,Micha's,"Event Planning & Services, Breakfast & Brunch, Mexican, Fast Food, Caterers, Restaurants, Buffets"
U3aNQ5DsABPYyJQolsCbJg,Charro Steak & Del Rey,"Diners, Restaurants, Steakhouses, Mexican"
Hl1snIVcDuihCT1raOwe3A,ChickeNuevo,"Mexican, Fast Food, Restaurants, Chicken Shop"
7rv0s0PrtFqRWEAIJ076Mw,Jack in the Box,"Mexican, Tacos, Breakfast & Brunch, Restaurants, Fast Food, Burgers"
JJjPO_Q3q9x2NXLcWkImoQ,Filibertos,"Tacos, Fast Food, Restaurants, Mexican"
-dlxDNFu_gRiUlfTInvrkA,Rancheros Market,"Specialty Food, Herbs & Spices, Food, Restaurants, Meat Shops, Mexican"
FNdfY7ZOavJQMmHiPPBkcg,Sushi Lito,"Food, Mexican, Tacos, Food Trucks, Sushi Bars, Restaurants"
RltJmR7ALy-qNjwes7s8cw,Baja Mar Restaurante,"Seafood Markets, Restaurants, Seafood, Food, Mexican, Specialty Food"
k0DQBEvaUjiJ3KXynmhpDA,Los Beto's,"Restaurants, Mexican"
NhIa6lf-D60Tgdj4RN3gjw,La Hacienda Restaurant,"Mexican, Restaurants, Salad, Seafood, Bars, Nightlife"
qQeJ6nHr8LaBMp2NTpzJfA,Los Portales Cocina Mexicana,"Mexican, Restaurants"
DVBJRvnCpkqaYl6nHroaMg,Tumerico,"Mexican, Gluten-Free, Vegetarian, Restaurants, Vegan"
6cuz9QXRmRbtE-xXaev9FA,ChickeNuevo,"Fast Food, Restaurants, Mexican"
8Qi-p6vbKRRNzgh8NV3flA,Rodolfos Taco Shop,"Restaurants, Mexican"
ZNRbukNN8rxj_uHqi-mJ-w,Los Betos,"Restaurants, Mexican"
QC5q6TKv_qwQ758qalF6Rw,The Landing,"American (New), Bars, American (Traditional), Burgers, Sports Bars, Tacos, Mexican, Restaurants, Seafood, Nightlife"
T_I2fxCdXDn6QdE7Qmpi9A,Riliberto's Fresh Mexican Food,"Mexican, Restaurants"
ZrSG1C6jJD075rVs_k87fw,Leo's,"Restaurants, Mexican"
rumPLvjy_ZMekZ5UBSF1ZA,On The Border Mexican Grill & Cantina,"Tex-Mex, Restaurants, Mexican"
E3QSrua1cXWaurPitBhKGQ,El Sur Restaurant,"Restaurants, Mexican, Comfort Food, New Mexican Cuisine, Food, Tacos"
xdy61kO_r5p6Zw30dsZ-ng,Umi Star,"Asian Fusion, Bars, Mexican, American (New), Restaurants, Nightlife, Japanese"
