name,text
Casa Molina Del Norte,We've been coming here since I was a kid. The staff has watched me and now my kids grow up. They're personable and so nice. They're also very prompt with service. Yoli and frank are the absolute best! The food is amazing! I absolutely love their shredded beef burro and cheese crisp. I feel they have true authentic Mexican food.
Penca,Wow. That was incredible. Best lunch I've had in a month. Try their tacos - fish and veggie
Penca,"Street Tacos in Tucson all get their inspiration right here.  Best Black Beans and Cotija Cheese on the Planet.  If you come visit me, 100% chance I'm taking you here for the win."
Penca,"Last minute decision--quick reservation via Yelp. Seated immediately upon arrival. Our waitress, Emma, was great--friendly and helpful. The food (Pescado de la Casa--Sea Bass tonight and Chile Relleno) was delicious. The horchata was perfect--refreshing with just the right amount of cinnamon. Loved the fresh chips and salsa. We will definitely return."
Micha's,"The best Carne Seca tacos in town!  The chips and salsa are sooo good too. The service is very fast and efficient.  I have tried to eat here at least once a week for the last six months because I cannot get over how wonderful the Carne Seca tacos are.  My mom loved the salsa so much she asked to buy some and take it home, it was only $3!  Love this place!"
Street- Taco and Beer Co.,"Cool lil spot downtown!! Great food, awesome staff and great location. Job well done!! For sure try a la cha cha!!!!"
Penca,A little pricey but simply amazing street style tacos.  Another great place in the downtown Tucson Renaissance.
Taqueria Pico De Gallo,"LOVE THIS PLACE!
I just wish it weren't so far from where I live, yet it is still worth the drive now and then.
Personally I tend to order the fish tacos, always great. The beans and rice that come along with it aren't bad either and the carrots & onion that come with are tasty too.
The yellow building can't be missed, be sure to stop in next time you're near by! Really affordable good food. Also they have home made horchata and often jimaica both of which I could drink a liter of. yum."
Casa Molina Del Norte,"I love the margaritas at this place!  The nachos are great also, along with the fajitas, but what really draws me back is my favorite server, Rafael.  He is amazing!  He is so personable, and always makes sure we have a great time!  He will always stop and chat with us, even if just for a few minutes when they are busy, to make sure we are doing ok, and asks about our cats and dog (after a few margaritas here, I am showing the pictures on my phone to anybody that will look...of course Rafael always humors me).  Not to say we have ever had someone that was just alright.  Everybody that has served us has always gone above and beyond to make sure we are content with everything!  Also, the Sunday Brunch is spectacular.  Every time  I fill up my plate with what I think is just about everything, here they come with trays of different stuff that was not there before.  And so I have to go back.  By the end, I look similar to a penguin, waddling out to my car!  Just a great place for a relaxing, fun evening, with great service and good food!"
El Charro Cafe,Really happy I found this gem for Mexican in Oro Valley. The salsa is out of this world. The chips are thin with just the right amount of salt.  My mom and I had a great server named Robert.  We are both looking forward to coming back very soon.
BK Tacos,Absolutely love this place! The tasty food never disappoints and their cheledas are the best!
St Mary's Mexican Food,"Best tortillas I've ever eaten. Their burros are stuffed with well-seasoned, juicy meat. Salsa is hot and perfect. Simple, quick, delicious, authentic. Go there."
Charro Steak & Del Rey,"Visiting from out of town and stopped in on a Saturday night w/o reservations.  Although it was busy, we enjoyed the wait at the bar and had great service/apps.  Enrique was sure we got seated and was a very gracious host!   Fantastic food and stellar staff.  We'll be back!!"
BK Tacos,"Most people go for the Sonoran Dog, but if your in for the tacos i'd recommend this to anyone. El Guero Canelo doesn't have much variety. BK has the best Carne Asada & Al Pastor Tacos & Caramelos :D  The location on 1st is more of a U of A place to go to. I always go to the South Side location. Either way it's all worth it!"
